id_szkoly,nazwa_szkoly,adres,miejscowosc,kod_pocztowy,dzielnica
25370,IV Liceum Ogólnokształcące im. A. Mickiewicza,Saska 59,Warszawa,03-914,Praga-Południe
25372,XLVII Liceum Ogólnokształcące im. S. Wyspiańskiego,Międzyborska 64/70,Warszawa,04-010,Praga-Południe
25373,XIX Liceum im. Powstańców Warszawy,Zbaraska 1,Warszawa,04-014,Praga-Południe
25374,Liceum Ogólnokształcące Niepubliczne dla Dorosłych nr 16,Al. Stanów Zjednoczonych 24,Warszawa,03-913,Praga-Południe
25376,Liceum Ogólnokształcące dla Dorosłych,Kaleńska 3,Warszawa,04-367,Praga-Południe
25377,CIV Liceum Ogólnokształcące dla Dorosłych,Mińska 1/5,Warszawa,03-806,Praga-Południe
25378,Liceum Ogólnokształcące dla Dorosłych ELITA,Aleja Stanów Zjednoczonych 51,Warszawa,04-026,Praga-Południe
25380,Liceum Ogólnokształcące,Kaleńska 3,Warszawa,04-367,Praga-Południe
25457,XXIII Liceum Ogólnokształcące im. Marii Skłodowskiej -Curie,Naddnieprzańska 2/4,Warszawa,04-205,Praga-Południe
25458,XCVI Liceum Ogólnokształcące im. Agnieszki Osieckiej w Zespole Szkół nr 37 w Warszawie.,Al. Stanów Zjednoczonych 24,Warszawa,03-964,Praga-Południe
25459,XCIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta,Umińskiego 12,Warszawa,03-984,Praga-Południe
25375,Niepubliczne Liceum Ogólnokształcące dla Dorosłych nr 38,Tarnowiecka 4,Warszawa,04-174,Praga-Południe
25392,CXXX Liceum Ogólnokształcące dla Dorosłych,Burdzińskiego 4,Warszawa,03-480,Praga-Północ
25389,L Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Ruy Barbosy,Burdzińskiego 4,Warszawa,03-480,Praga-Północ
25385,LXXVI Liceum Ogólnokształcące im. Marszałka Józefa Piłsudskiego,Kowelska 1,Warszawa,03-432,Praga-Północ
25382,VIII Liceum Ogólnokształcące im. Władysława IV,Jagiellońska 38,Warszawa,03-719,Praga-Północ
25384,Społeczne Liceum Ogólnokształcące nr 3 STO,Białostocka 4,Warszawa,03-741,Praga-Północ
76656,Liceum Ogólnokształcące Salomon,Namysłowska 4,Warszawa,03-454,Praga-Północ
25393,Wielokulturowe Liceum Humanistyczne im. Jacka Kuronia w Warszawie,Kłopotowskiego 31,Warszawa,03-720,Praga-Północ
25387,XX Liceum Ogólnokształcące im. Bolesława Chrobrego w Zespole Szkół nr 112 w Warszawie,Objazdowa 3,Warszawa,03-771,Praga-Północ
25394,LI Liceum Ogólnokształcące im. Tadeusza Kościuszki w Warszawie,Kadrowa 5/15,Warszawa,04-421,Rembertów
25476,Zaoczne Liceum Ogólnokształcące Cosinus,Łucka 13,Warszawa,00-842,Śródmieście
25437,II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego w Zespole Szkół nr 66,Myśliwiecka 6,Warszawa,00-459,Śródmieście
25435,AP Edukacja - Liceum Ogólnokształcące dla Dorosłych w Warszawie,Hoża 11/15,Warszawa,00-528,Śródmieście
25434,Społeczne Liceum Ogólnokształcące nr 7 im. Bronisława Geremka,Karmelicka 26,Warszawa,00-181,Śródmieście
25433,CXXXVI Liceum Ogólnokształcące Specjalne w SOS-W dla Dzieci Słabowidzących nr 8,Koźmińska 7,Warszawa,00-448,Śródmieście
25431,NOVA Niepubliczne Liceum Ogólnokształcące dla Dorosłych,Nowogrodzka 42,Warszawa,00-023,Śródmieście
